ID,Original Assumption,Assumption,Proposition,is phrase B contain any Contrary to phrase A? by maya,is phrase B contain any Contrary to phrase A? by Watanee,is phrase B contain any Contrary to phrase A? by YY,is phrase B contain any Contrary to phrase A? by Nonraphan,is phrase B contain any Contrary to phrase A? by Phanphum,is phrase B contain any Contrary to phrase A? by Nimmida,Vote
1656,no_evident_not_can_speak_perfect_English,can_speak_perfect_English,only_one_staff_wear_mask,,,,No,No,,No
1657,no_evident_not_staff_make_late_check-in_simple,staff_make_late_check-in_simple,staff_not_speak_English_properly,,,,No,No,,No
1658,no_evident_not_staff_make_late_check-in_simple,staff_make_late_check-in_simple,staff_clean_after_complaint,,,,No,No,,No
1659,no_evident_not_staff_make_late_check-in_simple,staff_make_late_check-in_simple,staff_should_learn_better_English,,,,No,No,,No
1660,no_evident_not_staff_make_late_check-in_simple,staff_make_late_check-in_simple,staff_need_improve_organization,,,,No,Yes,Yes,Yes
1661,no_evident_not_staff_make_late_check-in_simple,staff_make_late_check-in_simple,staff_need_improve_collaboration,,,,No,Yes,Yes,Yes
1662,no_evident_not_staff_make_late_check-in_simple,staff_make_late_check-in_simple,staff_need_keep_update,,,,No,Yes,Yes,Yes
1663,no_evident_not_staff_make_late_check-in_simple,staff_make_late_check-in_simple,not_kind_staff,,,,No,No,,No
1664,no_evident_not_staff_make_late_check-in_simple,staff_make_late_check-in_simple,no_empathy_staff,,,,No,No,,No
1665,no_evident_not_staff_make_late_check-in_simple,staff_make_late_check-in_simple,staff_fail_to_communicate_with_taxi,,,,No,No,,No
1666,no_evident_not_staff_make_late_check-in_simple,staff_make_late_check-in_simple,staff_fail_to_guest_request,,,,No,No,,No
1667,no_evident_not_staff_make_late_check-in_simple,staff_make_late_check-in_simple,staff_cannot_provide_double_bed,,,,No,No,,No
1668,no_evident_not_staff_make_late_check-in_simple,staff_make_late_check-in_simple,offended_staff,,,,No,No,,No
1669,no_evident_not_staff_make_late_check-in_simple,staff_make_late_check-in_simple,staff_not_justify_booking_issue,,,,No,No,,No
1670,no_evident_not_staff_make_late_check-in_simple,staff_make_late_check-in_simple,staff_charge_for_cancellation_while_no_cancellation_charge_in_Booking.com,,,,No,No,,No
1671,no_evident_not_staff_make_late_check-in_simple,staff_make_late_check-in_simple,staff_enforce_cancellation_charge,,,,No,No,,No
1672,no_evident_not_staff_make_late_check-in_simple,staff_make_late_check-in_simple,staff_mistakenly_throw_valuable_item_during_cleaning_service,,,,No,No,,No
1673,no_evident_not_staff_make_late_check-in_simple,staff_make_late_check-in_simple,staff_not_provide_good_solution,,,,Yes,Yes,,Yes
1674,no_evident_not_staff_make_late_check-in_simple,staff_make_late_check-in_simple,staff_has_unaceptable_manner,,,,No,No,,No
1675,no_evident_not_staff_make_late_check-in_simple,staff_make_late_check-in_simple,staff_not_speak_Cypriot_language,,,,No,No,,No
1676,no_evident_not_staff_make_late_check-in_simple,staff_make_late_check-in_simple,no_staff_at_night,,,,No,No,,No
1677,no_evident_not_staff_make_late_check-in_simple,staff_make_late_check-in_simple,staff_not_understand_English_well,,,,No,No,,No
1678,no_evident_not_staff_make_late_check-in_simple,staff_make_late_check-in_simple,staff_cannot_give_bus_to_airport_information,,,,No,No,,No
1679,no_evident_not_staff_make_late_check-in_simple,staff_make_late_check-in_simple,only_one_staff_wear_mask,,,,No,No,,No
1680,no_evident_not_staff_make_feel_at_home,staff_make_feel_at_home,staff_not_speak_English_properly,,,,No,No,,No
1681,no_evident_not_staff_make_feel_at_home,staff_make_feel_at_home,staff_clean_after_complaint,,,,No,No,,No
1682,no_evident_not_staff_make_feel_at_home,staff_make_feel_at_home,staff_should_learn_better_English,,,,No,No,,No
1683,no_evident_not_staff_make_feel_at_home,staff_make_feel_at_home,staff_need_improve_organization,,,,No,No,,No
1684,no_evident_not_staff_make_feel_at_home,staff_make_feel_at_home,staff_need_improve_collaboration,,,,No,No,,No
1685,no_evident_not_staff_make_feel_at_home,staff_make_feel_at_home,staff_need_keep_update,,,,No,No,,No
1686,no_evident_not_staff_make_feel_at_home,staff_make_feel_at_home,not_kind_staff,,,,Yes,Yes,,Yes
1687,no_evident_not_staff_make_feel_at_home,staff_make_feel_at_home,no_empathy_staff,,,,Yes,Yes,,Yes
1688,no_evident_not_staff_make_feel_at_home,staff_make_feel_at_home,staff_fail_to_communicate_with_taxi,,,,No,No,,No
1689,no_evident_not_staff_make_feel_at_home,staff_make_feel_at_home,staff_fail_to_guest_request,,,,No,No,,No
1690,no_evident_not_staff_make_feel_at_home,staff_make_feel_at_home,staff_cannot_provide_double_bed,,,,No,No,,No
1691,no_evident_not_staff_make_feel_at_home,staff_make_feel_at_home,offended_staff,,,,Yes,Yes,,Yes
1692,no_evident_not_staff_make_feel_at_home,staff_make_feel_at_home,staff_not_justify_booking_issue,,,,No,No,,No
1693,no_evident_not_staff_make_feel_at_home,staff_make_feel_at_home,staff_charge_for_cancellation_while_no_cancellation_charge_in_Booking.com,,,,No,No,,No
1694,no_evident_not_staff_make_feel_at_home,staff_make_feel_at_home,staff_enforce_cancellation_charge,,,,No,No,,No
1695,no_evident_not_staff_make_feel_at_home,staff_make_feel_at_home,staff_mistakenly_throw_valuable_item_during_cleaning_service,,,,No,No,,No
1696,no_evident_not_staff_make_feel_at_home,staff_make_feel_at_home,staff_not_provide_good_solution,,,,No,No,,No
1697,no_evident_not_staff_make_feel_at_home,staff_make_feel_at_home,staff_has_unaceptable_manner,,,,Yes,Yes,,Yes
1698,no_evident_not_staff_make_feel_at_home,staff_make_feel_at_home,staff_not_speak_Cypriot_language,,,,No,No,,No
1699,no_evident_not_staff_make_feel_at_home,staff_make_feel_at_home,no_staff_at_night,,,,No,Yes,Yes,Yes
1700,no_evident_not_staff_make_feel_at_home,staff_make_feel_at_home,staff_not_understand_English_well,,,,No,No,,No
1701,no_evident_not_staff_make_feel_at_home,staff_make_feel_at_home,staff_cannot_give_bus_to_airport_information,,,,No,No,,No
1702,no_evident_not_staff_make_feel_at_home,staff_make_feel_at_home,only_one_staff_wear_mask,,,,No,No,,No
1703,no_evident_not_big_smile,big_smile,staff_not_speak_English_properly,,,,No,No,,No
1704,no_evident_not_big_smile,big_smile,staff_clean_after_complaint,,,,No,No,,No
1705,no_evident_not_big_smile,big_smile,staff_should_learn_better_English,,,,No,No,,No
1706,no_evident_not_big_smile,big_smile,staff_need_improve_organization,,,,No,No,,No
1707,no_evident_not_big_smile,big_smile,staff_need_improve_collaboration,,,,No,No,,No
1708,no_evident_not_big_smile,big_smile,staff_need_keep_update,,,,No,No,,No
1709,no_evident_not_big_smile,big_smile,not_kind_staff,,,,Yes,Yes,,Yes
1710,no_evident_not_big_smile,big_smile,no_empathy_staff,,,,Yes,No,Yes,Yes
1711,no_evident_not_big_smile,big_smile,staff_fail_to_communicate_with_taxi,,,,No,No,,No
1712,no_evident_not_big_smile,big_smile,staff_fail_to_guest_request,,,,No,No,,No
1713,no_evident_not_big_smile,big_smile,staff_cannot_provide_double_bed,,,,No,No,,No
1714,no_evident_not_big_smile,big_smile,offended_staff,,,,Yes,Yes,,Yes
1715,no_evident_not_big_smile,big_smile,staff_not_justify_booking_issue,,,,No,No,,No
1716,no_evident_not_big_smile,big_smile,staff_charge_for_cancellation_while_no_cancellation_charge_in_Booking.com,,,,No,No,,No
1717,no_evident_not_big_smile,big_smile,staff_enforce_cancellation_charge,,,,No,No,,No
1718,no_evident_not_big_smile,big_smile,staff_mistakenly_throw_valuable_item_during_cleaning_service,,,,No,No,,No
1719,no_evident_not_big_smile,big_smile,staff_not_provide_good_solution,,,,No,No,,No
1720,no_evident_not_big_smile,big_smile,staff_has_unaceptable_manner,,,,No,No,,No
1721,no_evident_not_big_smile,big_smile,staff_not_speak_Cypriot_language,,,,No,No,,No
1722,no_evident_not_big_smile,big_smile,no_staff_at_night,,,,No,No,,No
1723,no_evident_not_big_smile,big_smile,staff_not_understand_English_well,,,,No,No,,No
1724,no_evident_not_big_smile,big_smile,staff_cannot_give_bus_to_airport_information,,,,No,No,,No
1725,no_evident_not_big_smile,big_smile,only_one_staff_wear_mask,,,,No,No,,No
1726,no_evident_not_friendly_service,friendly_service,staff_not_speak_English_properly,,,,No,No,,No
1727,no_evident_not_friendly_service,friendly_service,staff_clean_after_complaint,,,,No,No,,No
1728,no_evident_not_friendly_service,friendly_service,staff_should_learn_better_English,,,,No,No,,No
1729,no_evident_not_friendly_service,friendly_service,staff_need_improve_organization,,,,No,No,,No
1730,no_evident_not_friendly_service,friendly_service,staff_need_improve_collaboration,,,,No,No,,No
1731,no_evident_not_friendly_service,friendly_service,staff_need_keep_update,,,,No,No,,No
1732,no_evident_not_friendly_service,friendly_service,not_kind_staff,,,,Yes,Yes,,Yes
1733,no_evident_not_friendly_service,friendly_service,no_empathy_staff,,,,Yes,Yes,,Yes
1734,no_evident_not_friendly_service,friendly_service,staff_fail_to_communicate_with_taxi,,,,No,No,,No
1735,no_evident_not_friendly_service,friendly_service,staff_fail_to_guest_request,,,,No,No,,No
1736,no_evident_not_friendly_service,friendly_service,staff_cannot_provide_double_bed,,,,No,No,,No
1737,no_evident_not_friendly_service,friendly_service,offended_staff,,,,Yes,Yes,,Yes
1738,no_evident_not_friendly_service,friendly_service,staff_not_justify_booking_issue,,,,No,No,,No
1739,no_evident_not_friendly_service,friendly_service,staff_charge_for_cancellation_while_no_cancellation_charge_in_Booking.com,,,,No,No,,No
1740,no_evident_not_friendly_service,friendly_service,staff_enforce_cancellation_charge,,,,No,No,,No
1741,no_evident_not_friendly_service,friendly_service,staff_mistakenly_throw_valuable_item_during_cleaning_service,,,,No,No,,No
1742,no_evident_not_friendly_service,friendly_service,staff_not_provide_good_solution,,,,No,No,,No
1743,no_evident_not_friendly_service,friendly_service,staff_has_unaceptable_manner,,,,Yes,Yes,,Yes
1744,no_evident_not_friendly_service,friendly_service,staff_not_speak_Cypriot_language,,,,No,No,,No
1745,no_evident_not_friendly_service,friendly_service,no_staff_at_night,,,,No,No,,No
1746,no_evident_not_friendly_service,friendly_service,staff_not_understand_English_well,,,,No,No,,No
1747,no_evident_not_friendly_service,friendly_service,staff_cannot_give_bus_to_airport_information,,,,No,No,,No
1748,no_evident_not_friendly_service,friendly_service,only_one_staff_wear_mask,,,,No,No,,No
1749,no_evident_not_attentive_staff,attentive_staff,staff_not_speak_English_properly,,,,No,No,,No
1750,no_evident_not_attentive_staff,attentive_staff,staff_clean_after_complaint,,,,No,No,,No
1751,no_evident_not_attentive_staff,attentive_staff,staff_should_learn_better_English,,,,No,No,,No
1752,no_evident_not_attentive_staff,attentive_staff,staff_need_improve_organization,,,,No,No,,No
1753,no_evident_not_attentive_staff,attentive_staff,staff_need_improve_collaboration,,,,No,No,,No
1754,no_evident_not_attentive_staff,attentive_staff,staff_need_keep_update,,,,No,Yes,Yes,Yes
1755,no_evident_not_attentive_staff,attentive_staff,not_kind_staff,,,,Yes,Yes,,Yes
1756,no_evident_not_attentive_staff,attentive_staff,no_empathy_staff,,,,Yes,Yes,,Yes
1757,no_evident_not_attentive_staff,attentive_staff,staff_fail_to_communicate_with_taxi,,,,Yes,No,Yes,Yes
1758,no_evident_not_attentive_staff,attentive_staff,staff_fail_to_guest_request,,,,Yes,No,Yes,Yes
1759,no_evident_not_attentive_staff,attentive_staff,staff_cannot_provide_double_bed,,,,No,No,,No
1760,no_evident_not_attentive_staff,attentive_staff,offended_staff,,,,Yes,Yes,,Yes
1761,no_evident_not_attentive_staff,attentive_staff,staff_not_justify_booking_issue,,,,Yes,Yes,,Yes
1762,no_evident_not_attentive_staff,attentive_staff,staff_charge_for_cancellation_while_no_cancellation_charge_in_Booking.com,,,,Yes,Yes,,Yes
1763,no_evident_not_attentive_staff,attentive_staff,staff_enforce_cancellation_charge,,,,No,No,,No
1764,no_evident_not_attentive_staff,attentive_staff,staff_mistakenly_throw_valuable_item_during_cleaning_service,,,,Yes,Yes,,Yes
1765,no_evident_not_attentive_staff,attentive_staff,staff_not_provide_good_solution,,,,Yes,Yes,,Yes
1766,no_evident_not_attentive_staff,attentive_staff,staff_has_unaceptable_manner,,,,Yes,Yes,,Yes
1767,no_evident_not_attentive_staff,attentive_staff,staff_not_speak_Cypriot_language,,,,No,No,,No
1768,no_evident_not_attentive_staff,attentive_staff,no_staff_at_night,,,,Yes,No,Yes,Yes
1769,no_evident_not_attentive_staff,attentive_staff,staff_not_understand_English_well,,,,No,No,,No
1770,no_evident_not_attentive_staff,attentive_staff,staff_cannot_give_bus_to_airport_information,,,,No,No,,No
1771,no_evident_not_attentive_staff,attentive_staff,only_one_staff_wear_mask,,,,Yes,No,Yes,Yes
1772,no_evident_not_superb_service,superb_service,staff_not_speak_English_properly,,,,Yes,No,Yes,Yes
1773,no_evident_not_superb_service,superb_service,staff_clean_after_complaint,,,,No,No,,No
1774,no_evident_not_superb_service,superb_service,staff_should_learn_better_English,,,,Yes,No,Yes,Yes
1775,no_evident_not_superb_service,superb_service,staff_need_improve_organization,,,,Yes,Yes,,Yes
1776,no_evident_not_superb_service,superb_service,staff_need_improve_collaboration,,,,Yes,Yes,,Yes
1777,no_evident_not_superb_service,superb_service,staff_need_keep_update,,,,Yes,Yes,,Yes
1778,no_evident_not_superb_service,superb_service,not_kind_staff,,,,Yes,Yes,,Yes
1779,no_evident_not_superb_service,superb_service,no_empathy_staff,,,,Yes,Yes,,Yes
1780,no_evident_not_superb_service,superb_service,staff_fail_to_communicate_with_taxi,,,,Yes,Yes,,Yes
1781,no_evident_not_superb_service,superb_service,staff_fail_to_guest_request,,,,Yes,Yes,,Yes
1782,no_evident_not_superb_service,superb_service,staff_cannot_provide_double_bed,,,,Yes,Yes,,Yes
1783,no_evident_not_superb_service,superb_service,offended_staff,,,,Yes,Yes,,Yes
1784,no_evident_not_superb_service,superb_service,staff_not_justify_booking_issue,,,,Yes,Yes,,Yes
1785,no_evident_not_superb_service,superb_service,staff_charge_for_cancellation_while_no_cancellation_charge_in_Booking.com,,,,Yes,Yes,,Yes
1786,no_evident_not_superb_service,superb_service,staff_enforce_cancellation_charge,,,,No,No,,No
1787,no_evident_not_superb_service,superb_service,staff_mistakenly_throw_valuable_item_during_cleaning_service,,,,No,Yes,Yes,Yes
1788,no_evident_not_superb_service,superb_service,staff_not_provide_good_solution,,,,Yes,Yes,,Yes
1789,no_evident_not_superb_service,superb_service,staff_has_unaceptable_manner,,,,Yes,Yes,,Yes
1790,no_evident_not_superb_service,superb_service,staff_not_speak_Cypriot_language,,,,Yes,No,Yes,Yes
1791,no_evident_not_superb_service,superb_service,no_staff_at_night,,,,Yes,Yes,,Yes
1792,no_evident_not_superb_service,superb_service,staff_not_understand_English_well,,,,Yes,No,Yes,Yes
1793,no_evident_not_superb_service,superb_service,staff_cannot_give_bus_to_airport_information,,,,Yes,Yes,,Yes
1794,no_evident_not_superb_service,superb_service,only_one_staff_wear_mask,,,,Yes,Yes,,Yes
1795,no_evident_not_reachable_staff,reachable_staff,staff_not_speak_English_properly,,,,Yes,No,Yes,Yes
1796,no_evident_not_reachable_staff,reachable_staff,staff_clean_after_complaint,,,,No,No,,No
1797,no_evident_not_reachable_staff,reachable_staff,staff_should_learn_better_English,,,,No,No,,No
1798,no_evident_not_reachable_staff,reachable_staff,staff_need_improve_organization,,,,No,No,,No
1799,no_evident_not_reachable_staff,reachable_staff,staff_need_improve_collaboration,,,,No,No,,No
1800,no_evident_not_reachable_staff,reachable_staff,staff_need_keep_update,,,,No,No,,No
1801,no_evident_not_reachable_staff,reachable_staff,not_kind_staff,,,,Yes,No,Yes,Yes
1802,no_evident_not_reachable_staff,reachable_staff,no_empathy_staff,,,,Yes,No,Yes,Yes
1803,no_evident_not_reachable_staff,reachable_staff,staff_fail_to_communicate_with_taxi,,,,No,No,,No
1804,no_evident_not_reachable_staff,reachable_staff,staff_fail_to_guest_request,,,,No,No,,No
1805,no_evident_not_reachable_staff,reachable_staff,staff_cannot_provide_double_bed,,,,No,No,,No
1806,no_evident_not_reachable_staff,reachable_staff,offended_staff,,,,Yes,No,Yes,Yes
1807,no_evident_not_reachable_staff,reachable_staff,staff_not_justify_booking_issue,,,,No,No,,No
1808,no_evident_not_reachable_staff,reachable_staff,staff_charge_for_cancellation_while_no_cancellation_charge_in_Booking.com,,,,No,No,,No
1809,no_evident_not_reachable_staff,reachable_staff,staff_enforce_cancellation_charge,,,,No,No,,No
1810,no_evident_not_reachable_staff,reachable_staff,staff_mistakenly_throw_valuable_item_during_cleaning_service,,,,No,No,,No
1811,no_evident_not_reachable_staff,reachable_staff,staff_not_provide_good_solution,,,,No,No,,No
1812,no_evident_not_reachable_staff,reachable_staff,staff_has_unaceptable_manner,,,,No,No,,No
1813,no_evident_not_reachable_staff,reachable_staff,staff_not_speak_Cypriot_language,,,,Yes,No,Yes,Yes
1814,no_evident_not_reachable_staff,reachable_staff,no_staff_at_night,,,,Yes,Yes,,Yes
1815,no_evident_not_reachable_staff,reachable_staff,staff_not_understand_English_well,,,,Yes,No,Yes,Yes
1816,no_evident_not_reachable_staff,reachable_staff,staff_cannot_give_bus_to_airport_information,,,,No,No,,No
1817,no_evident_not_reachable_staff,reachable_staff,only_one_staff_wear_mask,,,,No,No,,No
1818,no_evident_not_informative,informative,staff_not_speak_English_properly,,,,Yes,No,No,No
1819,no_evident_not_informative,informative,staff_clean_after_complaint,,,,No,No,,No
1820,no_evident_not_informative,informative,staff_should_learn_better_English,,,,No,No,,No
1821,no_evident_not_informative,informative,staff_need_improve_organization,,,,No,No,,No
1822,no_evident_not_informative,informative,staff_need_improve_collaboration,,,,No,No,,No
1823,no_evident_not_informative,informative,staff_need_keep_update,,,,Yes,No,Yes,Yes
1824,no_evident_not_informative,informative,not_kind_staff,,,,No,No,,No
1825,no_evident_not_informative,informative,no_empathy_staff,,,,No,No,,No
1826,no_evident_not_informative,informative,staff_fail_to_communicate_with_taxi,,,,No,No,,No
1827,no_evident_not_informative,informative,staff_fail_to_guest_request,,,,No,No,,No
1828,no_evident_not_informative,informative,staff_cannot_provide_double_bed,,,,No,No,,No
1829,no_evident_not_informative,informative,offended_staff,,,,No,No,,No
1830,no_evident_not_informative,informative,staff_not_justify_booking_issue,,,,Yes,Yes,,Yes
1831,no_evident_not_informative,informative,staff_charge_for_cancellation_while_no_cancellation_charge_in_Booking.com,,,,No,No,,No
1832,no_evident_not_informative,informative,staff_enforce_cancellation_charge,,,,No,No,,No
1833,no_evident_not_informative,informative,staff_mistakenly_throw_valuable_item_during_cleaning_service,,,,No,No,,No
1834,no_evident_not_informative,informative,staff_not_provide_good_solution,,,,Yes,Yes,,Yes
1835,no_evident_not_informative,informative,staff_has_unaceptable_manner,,,,No,No,,No
1836,no_evident_not_informative,informative,staff_not_speak_Cypriot_language,,,,No,No,,No
1837,no_evident_not_informative,informative,no_staff_at_night,,,,Yes,No,No,No
1838,no_evident_not_informative,informative,staff_not_understand_English_well,,,,Yes,No,No,No
1839,no_evident_not_informative,informative,staff_cannot_give_bus_to_airport_information,,,,Yes,No,Yes,Yes
1840,no_evident_not_informative,informative,only_one_staff_wear_mask,,,,No,No,,No
1841,no_evident_not_reassuring_service,reassuring_service,staff_not_speak_English_properly,,,,Yes,No,Yes,Yes
1842,no_evident_not_reassuring_service,reassuring_service,staff_clean_after_complaint,,,,No,No,,No
1843,no_evident_not_reassuring_service,reassuring_service,staff_should_learn_better_English,,,,No,No,,No
1844,no_evident_not_reassuring_service,reassuring_service,staff_need_improve_organization,,,,No,No,,No
1845,no_evident_not_reassuring_service,reassuring_service,staff_need_improve_collaboration,,,,No,No,,No
1846,no_evident_not_reassuring_service,reassuring_service,staff_need_keep_update,,,,No,No,,No
1847,no_evident_not_reassuring_service,reassuring_service,not_kind_staff,,,,Yes,Yes,,Yes
1848,no_evident_not_reassuring_service,reassuring_service,no_empathy_staff,,,,Yes,Yes,,Yes
1849,no_evident_not_reassuring_service,reassuring_service,staff_fail_to_communicate_with_taxi,,,,Yes,No,Yes,Yes
1850,no_evident_not_reassuring_service,reassuring_service,staff_fail_to_guest_request,,,,Yes,Yes,,Yes
1851,no_evident_not_reassuring_service,reassuring_service,staff_cannot_provide_double_bed,,,,No,No,,No
1852,no_evident_not_reassuring_service,reassuring_service,offended_staff,,,,No,Yes,Yes,Yes
1853,no_evident_not_reassuring_service,reassuring_service,staff_not_justify_booking_issue,,,,Yes,Yes,,Yes
1854,no_evident_not_reassuring_service,reassuring_service,staff_charge_for_cancellation_while_no_cancellation_charge_in_Booking.com,,,,Yes,Yes,,Yes
1855,no_evident_not_reassuring_service,reassuring_service,staff_enforce_cancellation_charge,,,,No,No,,No
1856,no_evident_not_reassuring_service,reassuring_service,staff_mistakenly_throw_valuable_item_during_cleaning_service,,,,Yes,Yes,,Yes
1857,no_evident_not_reassuring_service,reassuring_service,staff_not_provide_good_solution,,,,Yes,No,Yes,Yes
1858,no_evident_not_reassuring_service,reassuring_service,staff_has_unaceptable_manner,,,,Yes,Yes,,Yes
1859,no_evident_not_reassuring_service,reassuring_service,staff_not_speak_Cypriot_language,,,,Yes,No,Yes,Yes
1860,no_evident_not_reassuring_service,reassuring_service,no_staff_at_night,,,,Yes,Yes,,Yes
1861,no_evident_not_reassuring_service,reassuring_service,staff_not_understand_English_well,,,,Yes,No,Yes,Yes
1862,no_evident_not_reassuring_service,reassuring_service,staff_cannot_give_bus_to_airport_information,,,,Yes,No,Yes,Yes
1863,no_evident_not_reassuring_service,reassuring_service,only_one_staff_wear_mask,,,,Yes,No,Yes,Yes
1864,no_evident_not_5_star_service,5_star_service,staff_not_speak_English_properly,,,,Yes,No,Yes,Yes
1865,no_evident_not_5_star_service,5_star_service,staff_clean_after_complaint,,,,No,No,,No
1866,no_evident_not_5_star_service,5_star_service,staff_should_learn_better_English,,,,Yes,No,Yes,Yes
1867,no_evident_not_5_star_service,5_star_service,staff_need_improve_organization,,,,Yes,Yes,,Yes
1868,no_evident_not_5_star_service,5_star_service,staff_need_improve_collaboration,,,,Yes,Yes,,Yes
1869,no_evident_not_5_star_service,5_star_service,staff_need_keep_update,,,,Yes,Yes,,Yes
1870,no_evident_not_5_star_service,5_star_service,not_kind_staff,,,,Yes,Yes,,Yes
1871,no_evident_not_5_star_service,5_star_service,no_empathy_staff,,,,Yes,Yes,,Yes
1872,no_evident_not_5_star_service,5_star_service,staff_fail_to_communicate_with_taxi,,,,Yes,Yes,,Yes
1873,no_evident_not_5_star_service,5_star_service,staff_fail_to_guest_request,,,,Yes,Yes,,Yes
1874,no_evident_not_5_star_service,5_star_service,staff_cannot_provide_double_bed,,,,Yes,Yes,,Yes
1875,no_evident_not_5_star_service,5_star_service,offended_staff,,,,Yes,Yes,,Yes
1876,no_evident_not_5_star_service,5_star_service,staff_not_justify_booking_issue,,,,Yes,Yes,,Yes
1877,no_evident_not_5_star_service,5_star_service,staff_charge_for_cancellation_while_no_cancellation_charge_in_Booking.com,,,,Yes,Yes,,Yes
1878,no_evident_not_5_star_service,5_star_service,staff_enforce_cancellation_charge,,,,No,No,,No
1879,no_evident_not_5_star_service,5_star_service,staff_mistakenly_throw_valuable_item_during_cleaning_service,,,,Yes,Yes,,Yes
1880,no_evident_not_5_star_service,5_star_service,staff_not_provide_good_solution,,,,Yes,Yes,,Yes
1881,no_evident_not_5_star_service,5_star_service,staff_has_unaceptable_manner,,,,Yes,Yes,,Yes
1882,no_evident_not_5_star_service,5_star_service,staff_not_speak_Cypriot_language,,,,Yes,No,Yes,Yes
1883,no_evident_not_5_star_service,5_star_service,no_staff_at_night,,,,Yes,Yes,,Yes
1884,no_evident_not_5_star_service,5_star_service,staff_not_understand_English_well,,,,Yes,No,Yes,Yes
1885,no_evident_not_5_star_service,5_star_service,staff_cannot_give_bus_to_airport_information,,,,Yes,Yes,,Yes
1886,no_evident_not_5_star_service,5_star_service,only_one_staff_wear_mask,,,,Yes,Yes,,Yes
1887,no_evident_not_lend_adaptor,lend_adaptor,staff_not_speak_English_properly,,,,No,No,,No
1888,no_evident_not_lend_adaptor,lend_adaptor,staff_clean_after_complaint,,,,No,No,,No
1889,no_evident_not_lend_adaptor,lend_adaptor,staff_should_learn_better_English,,,,No,No,,No
1890,no_evident_not_lend_adaptor,lend_adaptor,staff_need_improve_organization,,,,No,No,,No
1891,no_evident_not_lend_adaptor,lend_adaptor,staff_need_improve_collaboration,,,,No,No,,No
1892,no_evident_not_lend_adaptor,lend_adaptor,staff_need_keep_update,,,,No,No,,No
1893,no_evident_not_lend_adaptor,lend_adaptor,not_kind_staff,,,,No,Yes,Yes,Yes
1894,no_evident_not_lend_adaptor,lend_adaptor,no_empathy_staff,,,,No,Yes,Yes,Yes
1895,no_evident_not_lend_adaptor,lend_adaptor,staff_fail_to_communicate_with_taxi,,,,No,No,,No
1896,no_evident_not_lend_adaptor,lend_adaptor,staff_fail_to_guest_request,,,,No,No,,No
1897,no_evident_not_lend_adaptor,lend_adaptor,staff_cannot_provide_double_bed,,,,No,No,,No
1898,no_evident_not_lend_adaptor,lend_adaptor,offended_staff,,,,No,No,,No
1899,no_evident_not_lend_adaptor,lend_adaptor,staff_not_justify_booking_issue,,,,No,No,,No
1900,no_evident_not_lend_adaptor,lend_adaptor,staff_charge_for_cancellation_while_no_cancellation_charge_in_Booking.com,,,,No,No,,No
1901,no_evident_not_lend_adaptor,lend_adaptor,staff_enforce_cancellation_charge,,,,No,No,,No
1902,no_evident_not_lend_adaptor,lend_adaptor,staff_mistakenly_throw_valuable_item_during_cleaning_service,,,,No,No,,No
1903,no_evident_not_lend_adaptor,lend_adaptor,staff_not_provide_good_solution,,,,No,No,,No
1904,no_evident_not_lend_adaptor,lend_adaptor,staff_has_unaceptable_manner,,,,No,No,,No
1905,no_evident_not_lend_adaptor,lend_adaptor,staff_not_speak_Cypriot_language,,,,No,No,,No
1906,no_evident_not_lend_adaptor,lend_adaptor,no_staff_at_night,,,,No,No,,No
1907,no_evident_not_lend_adaptor,lend_adaptor,staff_not_understand_English_well,,,,No,No,,No
1908,no_evident_not_lend_adaptor,lend_adaptor,staff_cannot_give_bus_to_airport_information,,,,No,No,,No
1909,no_evident_not_lend_adaptor,lend_adaptor,only_one_staff_wear_mask,,,,No,No,,No
1910,no_evident_not_professional_staff,professional_staff,staff_not_speak_English_properly,,,,Yes,No,Yes,Yes
1911,no_evident_not_professional_staff,professional_staff,staff_clean_after_complaint,,,,No,No,,No
1912,no_evident_not_professional_staff,professional_staff,staff_should_learn_better_English,,,,Yes,No,Yes,Yes
1913,no_evident_not_professional_staff,professional_staff,staff_need_improve_organization,,,,Yes,Yes,,Yes
1914,no_evident_not_professional_staff,professional_staff,staff_need_improve_collaboration,,,,Yes,Yes,,Yes
1915,no_evident_not_professional_staff,professional_staff,staff_need_keep_update,,,,Yes,Yes,,Yes
1916,no_evident_not_professional_staff,professional_staff,not_kind_staff,,,,No,Yes,Yes,Yes
1917,no_evident_not_professional_staff,professional_staff,no_empathy_staff,,,,No,Yes,Yes,Yes
1918,no_evident_not_professional_staff,professional_staff,staff_fail_to_communicate_with_taxi,,,,Yes,Yes,,Yes
1919,no_evident_not_professional_staff,professional_staff,staff_fail_to_guest_request,,,,Yes,Yes,,Yes
1920,no_evident_not_professional_staff,professional_staff,staff_cannot_provide_double_bed,,,,No,No,,No
1921,no_evident_not_professional_staff,professional_staff,offended_staff,,,,Yes,Yes,,Yes
1922,no_evident_not_professional_staff,professional_staff,staff_not_justify_booking_issue,,,,Yes,Yes,,Yes
1923,no_evident_not_professional_staff,professional_staff,staff_charge_for_cancellation_while_no_cancellation_charge_in_Booking.com,,,,Yes,Yes,,Yes
1924,no_evident_not_professional_staff,professional_staff,staff_enforce_cancellation_charge,,,,Yes,No,Yes,Yes
