ID,Original A,A,B,is phrase B contain any Contrary to phrase A? by ???,is phrase B contain any Contrary to phrase A? by Nonraphan,is phrase B contain any Contrary to phrase A? by Nimmida,Vote
231,no_evident_not_hotel_allow_late_arrival,hotel_allow_late_arrival,customer_wait_10_minute_for_greet,No,No,,No
232,no_evident_not_hotel_allow_late_arrival,hotel_allow_late_arrival,customer_wait_10_minute_for_check-in,No,No,,No
233,no_evident_not_hotel_allow_late_arrival,hotel_allow_late_arrival,staff_misunderstand_on_payment,No,No,,No
234,no_evident_not_hotel_allow_late_arrival,hotel_allow_late_arrival,staff_take_picture_of_passport,No,No,,No
235,no_evident_not_perfect_welcome_at_4am_arrival,perfect_welcome_at_4am_arrival,no_one_give_key_on_late_check-in,Yes,Yes,,Yes
236,no_evident_not_perfect_welcome_at_4am_arrival,perfect_welcome_at_4am_arrival,door_lock_on_late_check-in,Yes,Yes,,Yes
237,no_evident_not_perfect_welcome_at_4am_arrival,perfect_welcome_at_4am_arrival,customer_wait_10_minute_for_greet,Yes,Yes,,Yes
238,no_evident_not_perfect_welcome_at_4am_arrival,perfect_welcome_at_4am_arrival,customer_wait_10_minute_for_check-in,Yes,Yes,,Yes
239,no_evident_not_perfect_welcome_at_4am_arrival,perfect_welcome_at_4am_arrival,staff_misunderstand_on_payment,Yes,Yes,,Yes
240,no_evident_not_perfect_welcome_at_4am_arrival,perfect_welcome_at_4am_arrival,staff_take_picture_of_passport,Yes,No,No,No
241,no_evident_not_perfect_welcome_at_1:30am_in_morning,perfect_welcome_at_1:30am_in_morning,no_one_give_key_on_late_check-in,Yes,Yes,,Yes
242,no_evident_not_perfect_welcome_at_1:30am_in_morning,perfect_welcome_at_1:30am_in_morning,door_lock_on_late_check-in,Yes,Yes,,Yes
243,no_evident_not_perfect_welcome_at_1:30am_in_morning,perfect_welcome_at_1:30am_in_morning,customer_wait_10_minute_for_greet,Yes,Yes,,Yes
244,no_evident_not_perfect_welcome_at_1:30am_in_morning,perfect_welcome_at_1:30am_in_morning,customer_wait_10_minute_for_check-in,Yes,Yes,,Yes
245,no_evident_not_perfect_welcome_at_1:30am_in_morning,perfect_welcome_at_1:30am_in_morning,staff_misunderstand_on_payment,Yes,Yes,,Yes
246,no_evident_not_perfect_welcome_at_1:30am_in_morning,perfect_welcome_at_1:30am_in_morning,staff_take_picture_of_passport,Yes,No,No,No
247,no_evident_not_can_check-in_at_4am,can_check-in_at_4am,no_one_give_key_on_late_check-in,No,No,,No
248,no_evident_not_can_check-in_at_4am,can_check-in_at_4am,door_lock_on_late_check-in,No,No,,No
249,no_evident_not_can_check-in_at_4am,can_check-in_at_4am,customer_wait_10_minute_for_greet,No,No,,No
250,no_evident_not_can_check-in_at_4am,can_check-in_at_4am,customer_wait_10_minute_for_check-in,No,No,,No
251,no_evident_not_can_check-in_at_4am,can_check-in_at_4am,staff_misunderstand_on_payment,No,No,,No
252,no_evident_not_can_check-in_at_4am,can_check-in_at_4am,staff_take_picture_of_passport,No,No,,No
